EmployeeID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,PerformanceScore,CurrentEmployeeRating,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,TrainingDate,TrainingProgramName,TrainingType,TrainingOutcome,TrainingDuration_Days,TrainingCost,Age
3427,20 September 2019,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,07 October 1969,MA,Female,White,Widowed,Fully Meets,4,14 January 2023,1,2,3,15 July 2023,Leadership Development,Internal,Failed,2,606.11,50
3428,11 February 2023,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,30 August 1965,MA,Male,Hispanic,Widowed,Fully Meets,3,09 September 2022,2,1,5,12 September 2022,Customer Service,External,Incomplete,4,673.02,58
3429,10 December 2018,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,06 October 1991,MA,Male,Hispanic,Widowed,Fully Meets,4,27 May 2023,1,2,1,13 August 2022,Leadership Development,External,Failed,2,413.28,27
3430,21 June 2021,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,04 April 1998,ND,Male,Other,Single,Fully Meets,2,16 June 2023,5,5,4,15 December 2022,Project Management,External,Completed,3,663.78,23
3431,29 June 2019,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,29 August 1969,FL,Female,Other,Married,Fully Meets,3,25 November 2022,2,5,3,13 July 2023,Technical Skills,External,Failed,5,399.03,50
3432,17 January 2020,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,03 April 1949,CT,Male,Black,Married,Fully Meets,3,12 December 2022,2,3,5,18 April 2023,Project Management,Internal,Passed,2,820.33,71
3433,06 April 2022,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,01 July 1942,CA,Female,Hispanic,Divorced,Exceeds,4,25 March 2023,1,5,2,06 August 2022,Customer Service,External,Passed,5,295.08,80
3434,06 November 2020,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,07 March 1957,OR,Female,White,Divorced,Fully Meets,2,21 April 2023,1,4,2,07 October 2022,Leadership Development,Internal,Passed,3,790.15,63
3435,18 August 2018,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,15 May 1974,TX,Male,Black,Widowed,Exceeds,3,09 December 2022,4,3,3,19 July 2023,Customer Service,Internal,Passed,3,798.4,44
3436,21 January 2022,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,11 November 1949,TX,Male,Asian,Widowed,Fully Meets,5,30 July 2023,5,5,2,09 April 2023,Leadership Development,Internal,Failed,5,192.61,73
3437,04 August 2023,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,26 January 1964,IN,Female,Other,Single,Fully Meets,5,15 October 2022,3,2,5,20 October 2022,Technical Skills,Internal,Failed,1,455.68,59
3438,10 August 2018,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,06 April 1948,GA,Female,Asian,Married,Fully Meets,3,28 October 2022,4,2,5,05 October 2022,Technical Skills,Internal,Failed,2,208.17,70
3439,25 May 2022,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,24 November 1981,CO,Male,Other,Single,Fully Meets,3,30 October 2022,1,2,5,09 March 2023,Technical Skills,External,Incomplete,1,421.07,41
3440,05 December 2019,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,06 November 1951,KY,Female,White,Divorced,Fully Meets,3,24 September 2022,1,4,5,29 May 2023,Communication Skills,External,Failed,1,649.03,68
3441,28 April 2019,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,21 November 1989,NV,Male,Asian,Widowed,Exceeds,4,30 October 2022,4,2,5,08 January 2023,Project Management,Internal,Passed,4,450.2,30
3442,09 July 2019,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,24 November 1952,MA,Male,Black,Single,Exceeds,2,31 October 2022,2,5,3,06 March 2023,Project Management,External,Failed,4,286.87,67
3443,05 April 2021,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,08 April 1994,KY,Male,Asian,Widowed,Fully Meets,3,29 April 2023,2,2,4,18 February 2023,Technical Skills,External,Failed,3,402.13,27
3444,28 November 2021,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,15 November 1983,KY,Male,Other,Widowed,Fully Meets,3,14 December 2022,1,2,4,02 November 2022,Technical Skills,External,Failed,2,388.84,38
3445,16 January 2021,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,07 December 1985,KY,Female,Other,Married,Exceeds,4,07 May 2023,4,5,2,14 July 2023,Project Management,External,Completed,2,879.64,36
3446,24 August 2021,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,01 May 1996,TX,Female,White,Divorced,Exceeds,2,21 May 2023,4,3,5,11 December 2022,Technical Skills,Internal,Failed,5,701.13,25
3447,26 May 2020,Area Sales Manager,CCDR,Future Start,Part-Time,Zone C,Part-Time,Sales,General - Con,17 February 1964,TX,Female,Asian,Widowed,Fully Meets,3,08 May 2023,5,1,4,02 April 2023,Customer Service,Internal,Incomplete,3,353.21,26
3448,01 October 2019,Area Sales Manager,SVG,Future Start,Full-Time,Zone A,Temporary,Sales,Engineers,12 May 1958,TX,Male,Asian,Widowed,Fully Meets,3,28 March 2023,5,1,5,16 May 2023,Communication Skills,Internal,Completed,4,911.05,53
3449,10 May 2023,Area Sales Manager,EW,Future Start,Contract,Zone B,Temporary,Sales,General - Eng,18 September 1992,CO,Male,Black,Single,Fully Meets,5,30 June 2023,3,2,1,02 October 2022,Communication Skills,External,Completed,3,242.21,75
3450,01 September 2020,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,11 August 1994,CO,Male,Other,Single,Exceeds,2,18 January 2023,4,3,5,12 January 2023,Technical Skills,Internal,Completed,4,186.07,40
3451,18 February 2021,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,15 January 1968,CO,Male,Other,Divorced,Exceeds,3,29 April 2023,5,1,2,22 March 2023,Technical Skills,External,Completed,1,921.97,52
3452,08 November 2022,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,07 January 1947,IN,Male,Black,Divorced,Fully Meets,2,19 January 2023,5,5,2,13 September 2022,Customer Service,Internal,Failed,1,691.04,22
3453,13 October 2022,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,07 April 1982,MA,Male,White,Widowed,Fully Meets,4,17 September 2022,5,5,3,25 August 2022,Customer Service,External,Completed,5,964.44,77
3454,11 September 2022,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,29 January 1970,KY,Male,Hispanic,Married,Needs Improvement,4,14 March 2023,4,4,2,07 February 2023,Communication Skills,Internal,Passed,3,184.9,73
3455,29 June 2021,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,18 January 1999,KY,Male,Other,Widowed,Exceeds,4,12 August 2022,2,1,1,17 March 2023,Project Management,External,Passed,1,220.41,76
3456,06 March 2023,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,25 September 1946,KY,Female,Black,Divorced,Fully Meets,3,30 March 2023,4,3,4,08 June 2023,Technical Skills,External,Passed,2,336.82,76
3457,25 September 2020,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,23 August 1947,KY,Female,White,Divorced,Needs Improvement,3,21 April 2023,5,1,4,15 April 2023,Customer Service,External,Completed,4,485.73,69
3458,28 April 2022,Area Sales Manager,BPC,Future Start,Contract,Zone A,Full-Time,Sales,Field Operations,12 August 1996,TX,Female,Hispanic,Single,Needs Improvement,3,14 February 2023,2,5,5,02 December 2022,Communication Skills,Internal,Failed,2,409.27,20
3459,18 April 2021,Area Sales Manager,CCDR,Future Start,Part-Time,Zone A,Full-Time,Sales,General - Con,09 February 1944,TX,Male,Black,Widowed,Exceeds,2,26 October 2022,4,4,3,14 June 2023,Communication Skills,Internal,Passed,4,168.32,59
3460,19 February 2020,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,10 February 1944,TX,Male,Asian,Married,Fully Meets,3,16 November 2022,4,3,3,08 July 2023,Communication Skills,External,Incomplete,5,919.52,43
3461,18 July 2019,Area Sales Manager,EW,Future Start,Full-Time,Zone C,Part-Time,Sales,General - Con,29 December 1997,CO,Male,Hispanic,Married,Needs Improvement,1,24 April 2023,1,4,4,05 January 2023,Technical Skills,External,Completed,2,948.43,33
3462,13 September 2018,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,09 August 1942,CO,Male,Hispanic,Divorced,Needs Improvement,3,08 November 2022,3,3,1,19 July 2023,Project Management,External,Completed,1,320.01,21
3463,30 April 2020,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,21 June 1951,IN,Male,Hispanic,Single,Fully Meets,1,18 September 2022,4,3,4,29 August 2022,Technical Skills,Internal,Incomplete,4,926.19,53
3464,03 December 2018,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),17 June 1998,MA,Male,Black,Widowed,Needs Improvement,5,29 December 2022,2,5,3,13 November 2022,Customer Service,External,Passed,2,290.47,41
3465,08 November 2021,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,07 January 1962,MA,Male,Asian,Divorced,Needs Improvement,3,19 May 2023,5,4,3,04 June 2023,Communication Skills,External,Incomplete,1,706.1,73
